10,0.013157894736842105,0.010377237709298184
10,0.0132,0.0104
20,0.0132,0.0083
30,0.0329,0.0083
40,0.0132,0.0083
50,0.0230,0.0051
60,0.0263,0.0051
70,0.0461,0.0031
80,0.0559,0.0038
90,0.0691,0.0020
100,0.1020,0.0025
110,0.1217,0.0024
120,0.1086,0.0025
130,0.1349,0.0038
140,0.1711,0.0035
150,0.1941,0.0042
160,0.2138,0.0062
170,0.2566,0.0057
180,0.2401,0.0063
190,0.2763,0.0060
200,0.3191,0.0089
210,0.3388,0.0102
220,0.4572,0.0118
230,0.4507,0.0129
240,0.4704,0.0153
250,0.5362,0.0136
260,0.4967,0.0161
270,0.5888,0.0180
280,0.5855,0.0185
290,0.6086,0.0196
300,0.6316,0.0229
310,0.6908,0.0245
320,0.7105,0.0254
330,0.7862,0.0260
340,0.7533,0.0297
350,0.7862,0.0297
360,0.7895,0.0305
370,0.8388,0.0303
380,0.8487,0.0340
390,0.8388,0.0362
400,0.8684,0.0347
410,0.8322,0.0346
420,0.8783,0.0382
430,0.8816,0.0359
440,0.8849,0.0393
450,0.8586,0.0389
460,0.8816,0.0397
470,0.9178,0.0399
480,0.8816,0.0396
490,0.8849,0.0405
500,0.8882,0.0410
